# gal m_obs sigma_m P delta_logO_H
1309	24.81	0.3465	40.4	0.3795
1309	26.05	0.4568	18.37	-0.2468
1309	26.04	0.53	26.94	1.159
1309	22.8	0.3921	36.51	-0.3276
1309	21.86	0.2858	60.36	-0.896
1309	23.45	0.4465	35.8	-0.2532
1309	23.85	0.365	21.23	-0.7035
1309	25.68	0.3158	21.88	0.5588
1309	24.6	0.2928	27.06	0.2014
1309	24.94	0.2249	25.44	0.2183
1309	21.34	0.3708	42.35	-1.65
1309	25.51	0.3951	23.35	0.366
1309	23.45	0.6394	22.37	-0.7328
1309	27.49	0.5376	10.06	0.1837
1309	24.16	0.5621	15.77	-0.4942
1309	25.81	0.3253	22.25	0.5304
1309	23.9	0.3062	54.26	0.1846
1309	26.28	0.493	20.12	0.22
1309	22.47	0.5266	32.54	-0.7342
1309	25.13	0.1681	27.51	0.1816
1309	26.4	0.1798	17.33	0.678
1309	23.37	0.3736	37.04	-0.5568
1309	24.78	0.1958	23.86	-0.0891
1309	24.04	0.677	29.43	-0.2413
1309	23.86	0.6026	93.36	0.1106
1309	23.36	0.4121	44.58	0.3603
1309	23.68	0.231	70.27	0.4864
1309	22.48	0.181	112.6	0.1157
1309	22.99	0.6874	91.35	0.06798
1309	22	0.5242	37.71	-0.9633
1309	26.91	0.616	17.65	0.9988
1309	25.79	0.3323	16.04	-0.01389
1309	24.11	0.2505	25.6	-0.2523
1309	23.51	0.2797	56.44	0.3159
1309	23.73	0.6141	9.834	-1.385
1309	21.48	0.3838	70.04	-1.108
1309	25.02	0.498	15.53	-0.4778
1309	25.08	0.5834	22.22	0.6161
1309	26.24	0.2518	6.193	-0.4173
1309	25.71	0.1477	33.97	1.155
1309	22.85	0.5397	105.1	-0.2238
1309	21.75	0.6768	74.57	-0.2596
1309	23.16	0.6723	34.65	0.6923
1309	23.74	0.3943	47.13	-0.4224
1309	28.62	0.4793	10.65	1.27
1309	26.46	0.5398	12.95	0.4487
1309	24.58	0.6414	20.05	-0.1107
1309	27.17	0.1973	17.29	1.237
1309	26.19	0.3435	19.64	0.7325
1309	24.32	0.3503	21.85	-0.2851
1309	20.03	0.5174	90.86	-1.354
